document_id,title,short_title,document_type,legal_weight,issuing_authority,status,assigned_to,publication_date,effective_date,notes,filename,pages,sampled_pages,text_coverage,has_text
nrs_notice_154,EXTENDED WEEKEND TAX OFFICE OPERATIONS,,notice,administrative_guidance,Nigeria Revenue Service,in_force,abdul,2026-05-07,2026-05-07,"From NRS website API, retrieved 2026-08-25. Item id 154.",guidance\nrs_news_releases_snapshot.json,1,,,True
nrs_press_release_133,Implementation Timeline on the Phased Rollout of the E-Invoicing & Electronic Fiscal System (EFS) Regime.,,press_release,official_communication,Nigeria Revenue Service,in_force,abdul,2026-04-21,2026-04-21,"From NRS website API, retrieved 2026-08-25. Item id 133.",guidance\nrs_news_releases_snapshot.json,1,,,True
nrs_press_release_134,"Nigerian Tax ID Portal Goes Live   Effective January 1, 2026",,press_release,official_communication,Nigeria Revenue Service,in_force,abdul,2026-04-21,2026-04-21,"From NRS website API, retrieved 2026-08-25. Item id 134.",guidance\nrs_news_releases_snapshot.json,1,,,True
nrs_press_release_135,Nigeria Revenue Service Announces the Upcoming Launch of Rev360: Journey to Tax Administration 3.0,,press_release,official_communication,Nigeria Revenue Service,in_force,abdul,2026-04-21,2026-04-21,"From NRS website API, retrieved 2026-08-25. Item id 135. IMAGE-ONLY: text lives in a poster image (see data/raw/guidance/images/); needs OCR decision.",guidance\nrs_news_releases_snapshot.json,1,,,False
nrs_notice_150,Rev360 USER MANUAL - TAXPAYER SELF SERVICE PORTAL (TSSP),,notice,administrative_guidance,Nigeria Revenue Service,in_force,abdul,2026-04-21,2026-04-21,"From NRS website API, retrieved 2026-08-25. Item id 150.",guidance\nrs_news_releases_snapshot.json,1,,,True
nrs_notice_159,IMPLEMENTATION OF TAXPAYER IDENTIFICATION (Tax ID),,notice,administrative_guidance,Nigeria Revenue Service,in_force,abdul,2026-05-22,2026-05-22,"From NRS website API, retrieved 2026-08-25. Item id 159.",guidance\nrs_news_releases_snapshot.json,1,,,True
nrs_notice_162,COMMENCEMENT OF COMPLIANCE MONITORING FOR LARGE TAXPAYERS UNDER THE NATIONAL E-INVOICING & ELECTRONIC FISCAL SYSTEM (EFS) REGIME,,notice,administrative_guidance,Nigeria Revenue Service,in_force,abdul,2026-07-20,2026-07-20,"From NRS website API, retrieved 2026-08-25. Item id 162.",guidance\nrs_news_releases_snapshot.json,1,,,True
nrs_news_136,The Nigeria Revenue Service Officially Commissioned its Corporate Headquarters,,news,official_communication,Nigeria Revenue Service,in_force,abdul,2026-04-21,2026-04-21,"From NRS website API, retrieved 2026-08-25. Item id 136.",guidance\nrs_news_releases_snapshot.json,1,,,True
nrs_news_137,"NUPRC, NRS Deepen Partnership to Boost Revenue Collection",,news,official_communication,Nigeria Revenue Service,in_force,abdul,2026-04-21,2026-04-21,"From NRS website API, retrieved 2026-08-25. Item id 137.",guidance\nrs_news_releases_snapshot.json,1,,,True
nrs_news_139,"NRS meets KPMG, Allays Initial Apprehension",,news,official_communication,Nigeria Revenue Service,in_force,abdul,2026-04-21,2026-04-21,"From NRS website API, retrieved 2026-08-25. Item id 139.",guidance\nrs_news_releases_snapshot.json,1,,,True
nrs_press_release_130,Clarification on the FIRS-DGFIP Memorandum of Understanding,,press_release,official_communication,Nigeria Revenue Service,in_force,abdul,2026-04-21,2026-04-21,"From NRS website API, retrieved 2026-08-25. Item id 130. IMAGE-ONLY: text lives in a poster image (see data/raw/guidance/images/); needs OCR decision.",guidance\nrs_news_releases_snapshot.json,1,,,False
nrs_news_132,Collaboration key to successful implementation of new tax laws---FIRS chairman,,news,official_communication,Nigeria Revenue Service,in_force,abdul,2026-04-21,2026-04-21,"From NRS website API, retrieved 2026-08-25. Item id 132.",guidance\nrs_news_releases_snapshot.json,1,,,True
nrs_press_release_140,Nigeria’s tax reforms get African Tax Administration Forum nod,,press_release,official_communication,Nigeria Revenue Service,in_force,abdul,2026-04-21,2026-04-21,"From NRS website API, retrieved 2026-08-25. Item id 140.",guidance\nrs_news_releases_snapshot.json,1,,,True
nrs_faq_2026,NRS Frequently Asked Questions (nrs.gov.ng),NRS FAQ,faq,administrative_guidance,Nigeria Revenue Service,in_force,abdul,2026-01-13,,"From NRS website API, retrieved 2026-08-25. 97 Q&A pairs with topics.",guidance\nrs_faq_snapshot.json,1,,,True
